tdate[yyyy-mm-dd HH:MM:SS],time[seconds since 1970-01-01 00:00:00],conc_epi_min[g.m-3],conc_epi_max[g.m-3],conc_hypo_min[g.m-3],conc_hypo_max[g.m-3]
2025-06-01 12:00:00,1748779200.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-02 12:00:00,1748865600.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-03 12:00:00,1748952000.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-04 12:00:00,1749038400.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-05 12:00:00,1749124800.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-06 12:00:00,1749211200.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-07 12:00:00,1749297600.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-08 12:00:00,1749384000.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-09 12:00:00,1749470400.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-10 12:00:00,1749556800.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-11 12:00:00,1749643200.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-12 12:00:00,1749729600.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-13 12:00:00,1749816000.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-14 12:00:00,1749902400.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-15 12:00:00,1749988800.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-16 12:00:00,1750075200.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-17 12:00:00,1750161600.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-18 12:00:00,1750248000.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-19 12:00:00,1750334400.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-20 12:00:00,1750420800.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-21 12:00:00,1750507200.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-22 12:00:00,1750593600.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-23 12:00:00,1750680000.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-24 12:00:00,1750766400.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-25 12:00:00,1750852800.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-26 12:00:00,1750939200.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-27 12:00:00,1751025600.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-28 12:00:00,1751112000.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-29 12:00:00,1751198400.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-06-30 12:00:00,1751284800.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-07-01 12:00:00,1751371200.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2025-07-02 12:00:00,1751457600.0,2.901e-08,2.901e-07,0.000e+00,0.000e+00
2025-07-03 12:00:00,1751544000.0,5.547e-08,5.547e-07,5.293e-10,5.293e-09
2025-07-04 12:00:00,1751630400.0,7.960e-08,7.960e-07,1.531e-09,1.531e-08
2025-07-05 12:00:00,1751716800.0,1.016e-07,1.016e-06,2.956e-09,2.956e-08
2025-07-06 12:00:00,1751803200.0,1.218e-07,1.218e-06,4.756e-09,4.756e-08
2025-07-07 12:00:00,1751889600.0,1.403e-07,1.403e-06,6.892e-09,6.892e-08
2025-07-08 12:00:00,1751976000.0,1.573e-07,1.573e-06,9.326e-09,9.326e-08
2025-07-09 12:00:00,1752062400.0,1.730e-07,1.730e-06,1.203e-08,1.203e-07
2025-07-10 12:00:00,1752148800.0,1.875e-07,1.875e-06,1.496e-08,1.496e-07
2025-07-11 12:00:00,1752235200.0,2.010e-07,2.010e-06,1.811e-08,1.811e-07
2025-07-12 12:00:00,1752321600.0,2.137e-07,2.137e-06,2.145e-08,2.145e-07
2025-07-13 12:00:00,1752408000.0,2.255e-07,2.255e-06,2.496e-08,2.496e-07
2025-07-14 12:00:00,1752494400.0,2.367e-07,2.367e-06,2.861e-08,2.861e-07
2025-07-15 12:00:00,1752580800.0,2.473e-07,2.473e-06,3.241e-08,3.241e-07
2025-07-16 12:00:00,1752667200.0,2.575e-07,2.575e-06,3.633e-08,3.633e-07
2025-07-17 12:00:00,1752753600.0,2.673e-07,2.673e-06,4.037e-08,4.037e-07
2025-07-18 12:00:00,1752840000.0,2.768e-07,2.768e-06,4.451e-08,4.451e-07
2025-07-19 12:00:00,1752926400.0,2.861e-07,2.861e-06,4.874e-08,4.874e-07
2025-07-20 12:00:00,1753012800.0,2.952e-07,2.952e-06,5.307e-08,5.307e-07
2025-07-21 12:00:00,1753099200.0,3.041e-07,3.041e-06,5.749e-08,5.749e-07
2025-07-22 12:00:00,1753185600.0,3.130e-07,3.130e-06,6.199e-08,6.199e-07
2025-07-23 12:00:00,1753272000.0,3.219e-07,3.219e-06,6.657e-08,6.657e-07
2025-07-24 12:00:00,1753358400.0,3.309e-07,3.309e-06,7.123e-08,7.123e-07
2025-07-25 12:00:00,1753444800.0,3.399e-07,3.399e-06,7.597e-08,7.597e-07
2025-07-26 12:00:00,1753531200.0,3.491e-07,3.491e-06,8.078e-08,8.078e-07
2025-07-27 12:00:00,1753617600.0,3.584e-07,3.584e-06,8.568e-08,8.568e-07
2025-07-28 12:00:00,1753704000.0,3.679e-07,3.679e-06,9.065e-08,9.065e-07
2025-07-29 12:00:00,1753790400.0,3.776e-07,3.776e-06,9.571e-08,9.571e-07
2025-07-30 12:00:00,1753876800.0,3.876e-07,3.876e-06,1.008e-07,1.008e-06
2025-07-31 12:00:00,1753963200.0,3.978e-07,3.978e-06,1.061e-07,1.061e-06
2025-08-01 12:00:00,1754049600.0,4.084e-07,4.084e-06,1.114e-07,1.114e-06
2025-08-02 12:00:00,1754136000.0,4.194e-07,4.194e-06,1.168e-07,1.168e-06
2025-08-03 12:00:00,1754222400.0,4.307e-07,4.307e-06,1.223e-07,1.223e-06
2025-08-04 12:00:00,1754308800.0,4.424e-07,4.424e-06,1.280e-07,1.280e-06
2025-08-05 12:00:00,1754395200.0,4.545e-07,4.545e-06,1.337e-07,1.337e-06
2025-08-06 12:00:00,1754481600.0,4.671e-07,4.671e-06,1.396e-07,1.396e-06
2025-08-07 12:00:00,1754568000.0,4.802e-07,4.802e-06,1.455e-07,1.455e-06
2025-08-08 12:00:00,1754654400.0,4.937e-07,4.937e-06,1.516e-07,1.516e-06
2025-08-09 12:00:00,1754740800.0,5.078e-07,5.078e-06,1.579e-07,1.579e-06
2025-08-10 12:00:00,1754827200.0,5.224e-07,5.224e-06,1.643e-07,1.643e-06
2025-08-11 12:00:00,1754913600.0,5.376e-07,5.376e-06,1.708e-07,1.708e-06
2025-08-12 12:00:00,1755000000.0,5.534e-07,5.534e-06,1.775e-07,1.775e-06
2025-08-13 12:00:00,1755086400.0,5.698e-07,5.698e-06,1.843e-07,1.843e-06
2025-08-14 12:00:00,1755172800.0,5.867e-07,5.867e-06,1.914e-07,1.914e-06
2025-08-15 12:00:00,1755259200.0,6.043e-07,6.043e-06,1.986e-07,1.986e-06
2025-08-16 12:00:00,1755345600.0,6.226e-07,6.226e-06,2.060e-07,2.060e-06
2025-08-17 12:00:00,1755432000.0,6.415e-07,6.415e-06,2.136e-07,2.136e-06
2025-08-18 12:00:00,1755518400.0,6.610e-07,6.610e-06,2.214e-07,2.214e-06
2025-08-19 12:00:00,1755604800.0,6.812e-07,6.812e-06,2.294e-07,2.294e-06
2025-08-20 12:00:00,1755691200.0,7.020e-07,7.020e-06,2.377e-07,2.377e-06
2025-08-21 12:00:00,1755777600.0,7.235e-07,7.235e-06,2.461e-07,2.461e-06
2025-08-22 12:00:00,1755864000.0,7.456e-07,7.456e-06,2.548e-07,2.548e-06
2025-08-23 12:00:00,1755950400.0,7.683e-07,7.683e-06,2.638e-07,2.638e-06
2025-08-24 12:00:00,1756036800.0,7.916e-07,7.916e-06,2.730e-07,2.730e-06
2025-08-25 12:00:00,1756123200.0,8.155e-07,8.155e-06,2.825e-07,2.825e-06
2025-08-26 12:00:00,1756209600.0,8.398e-07,8.398e-06,2.922e-07,2.922e-06
2025-08-27 12:00:00,1756296000.0,8.647e-07,8.647e-06,3.022e-07,3.022e-06
2025-08-28 12:00:00,1756382400.0,8.899e-07,8.899e-06,3.124e-07,3.124e-06
2025-08-29 12:00:00,1756468800.0,9.154e-07,9.154e-06,3.230e-07,3.230e-06
2025-08-30 12:00:00,1756555200.0,9.413e-07,9.413e-06,3.338e-07,3.338e-06
2025-08-31 12:00:00,1756641600.0,9.672e-07,9.672e-06,3.449e-07,3.449e-06
2025-09-01 12:00:00,1756728000.0,9.642e-07,9.642e-06,3.562e-07,3.562e-06
2025-09-02 12:00:00,1756814400.0,9.613e-07,9.613e-06,3.673e-07,3.673e-06
2025-09-03 12:00:00,1756900800.0,9.584e-07,9.584e-06,3.781e-07,3.781e-06
2025-09-04 12:00:00,1756987200.0,9.557e-07,9.557e-06,3.887e-07,3.887e-06
2025-09-05 12:00:00,1757073600.0,9.529e-07,9.529e-06,3.991e-07,3.991e-06
2025-09-06 12:00:00,1757160000.0,9.503e-07,9.503e-06,4.092e-07,4.092e-06
2025-09-07 12:00:00,1757246400.0,9.477e-07,9.477e-06,4.190e-07,4.190e-06
2025-09-08 12:00:00,1757332800.0,9.451e-07,9.451e-06,4.287e-07,4.287e-06
2025-09-09 12:00:00,1757419200.0,9.427e-07,9.427e-06,4.381e-07,4.381e-06
2025-09-10 12:00:00,1757505600.0,9.402e-07,9.402e-06,4.473e-07,4.473e-06
2025-09-11 12:00:00,1757592000.0,9.379e-07,9.379e-06,4.563e-07,4.563e-06
2025-09-12 12:00:00,1757678400.0,9.356e-07,9.356e-06,4.651e-07,4.651e-06
2025-09-13 12:00:00,1757764800.0,9.333e-07,9.333e-06,4.737e-07,4.737e-06
2025-09-14 12:00:00,1757851200.0,9.311e-07,9.311e-06,4.821e-07,4.821e-06
2025-09-15 12:00:00,1757937600.0,9.289e-07,9.289e-06,4.903e-07,4.903e-06
2025-09-16 12:00:00,1758024000.0,9.268e-07,9.268e-06,4.983e-07,4.983e-06
2025-09-17 12:00:00,1758110400.0,9.248e-07,9.248e-06,5.061e-07,5.061e-06
2025-09-18 12:00:00,1758196800.0,9.228e-07,9.228e-06,5.137e-07,5.137e-06
2025-09-19 12:00:00,1758283200.0,9.208e-07,9.208e-06,5.212e-07,5.212e-06
2025-09-20 12:00:00,1758369600.0,9.189e-07,9.189e-06,5.285e-07,5.285e-06
2025-09-21 12:00:00,1758456000.0,9.170e-07,9.170e-06,5.356e-07,5.356e-06
2025-09-22 12:00:00,1758542400.0,9.152e-07,9.152e-06,5.425e-07,5.425e-06
2025-09-23 12:00:00,1758628800.0,9.134e-07,9.134e-06,5.493e-07,5.493e-06
2025-09-24 12:00:00,1758715200.0,9.117e-07,9.117e-06,5.560e-07,5.560e-06
2025-09-25 12:00:00,1758801600.0,9.099e-07,9.099e-06,5.625e-07,5.625e-06
2025-09-26 12:00:00,1758888000.0,9.083e-07,9.083e-06,5.688e-07,5.688e-06
2025-09-27 12:00:00,1758974400.0,9.067e-07,9.067e-06,5.750e-07,5.750e-06
2025-09-28 12:00:00,1759060800.0,9.051e-07,9.051e-06,5.811e-07,5.811e-06
2025-09-29 12:00:00,1759147200.0,9.035e-07,9.035e-06,5.870e-07,5.870e-06
2025-09-30 12:00:00,1759233600.0,9.020e-07,9.020e-06,5.927e-07,5.927e-06
